example_index,example_id,session_index,dialogue_id,dialogue_turns,api_call_count,session_input_tokens,before_memory_count,after_memory_count,before_memory_tokens,after_memory_tokens,delta_memory_count,delta_memory_tokens,add_event_ids,add_event_statuses,status,error
0,dev_0003,0,15_00034,22,2,429,0,2,0,65,2,65,"[""a76761e1-12e9-4c9c-99ce-fae66eae05f6""]","[""SUCCEEDED""]",OK,
0,dev_0003,1,2_00055,16,1,410,2,3,65,121,1,56,"[""07cfb238-1c6c-45f0-9b42-41b0f570d390""]","[""SUCCEEDED""]",OK,
0,dev_0003,2,15_00056,22,2,293,3,4,121,146,1,25,"[""23ae2f79-30ee-4af7-a6c0-7f5fed7e9936""]","[""SUCCEEDED""]",OK,
0,dev_0003,3,15_00070,18,2,343,4,6,146,212,2,66,"[""fe211a6b-c8e4-456b-9619-fc8ac8013fa5""]","[""SUCCEEDED""]",OK,
0,dev_0003,4,11_00121,32,2,459,6,11,212,305,5,93,"[""f2d64746-0fb3-4e56-ba98-929305ded3ce""]","[""SUCCEEDED""]",OK,
0,dev_0003,5,15_00100,20,2,280,11,14,305,390,3,85,"[""1ca8874e-3737-4a2a-a7fc-6497e1a5e288""]","[""SUCCEEDED""]",OK,
1,dev_0004,0,15_00038,22,2,383,0,2,0,55,2,55,"[""cb0ef79f-a3de-4b89-8156-bf3bf1983c91""]","[""SUCCEEDED""]",OK,
1,dev_0004,1,15_00071,24,2,387,2,4,55,116,2,61,"[""f5320b2c-062d-4eb4-8cdf-73e66d5a848d""]","[""SUCCEEDED""]",OK,
2,dev_0008,0,8_00097,24,2,376,0,9,0,113,9,113,"[""6b608082-70f8-4c30-94dc-c6d90bb3accc""]","[""SUCCEEDED""]",OK,
2,dev_0008,1,9_00037,24,2,348,9,14,113,195,5,82,"[""43ad38f6-a381-4e63-8480-135fa47140e0""]","[""SUCCEEDED""]",OK,
2,dev_0008,2,9_00042,28,2,429,14,22,195,336,8,141,"[""617a5ee6-12d2-4f23-91f7-285912122b81""]","[""SUCCEEDED""]",OK,
2,dev_0008,3,9_00033,24,2,320,22,27,336,423,5,87,"[""b9f29780-01d9-49f6-a373-70c2fe1b8666""]","[""SUCCEEDED""]",OK,
2,dev_0008,4,8_00058,26,2,396,27,33,423,528,6,105,"[""a8707406-cd9e-4b02-8995-f61936827b71""]","[""SUCCEEDED""]",OK,
3,dev_0009,0,9_00040,24,2,295,0,4,0,60,4,60,"[""e3ecdd15-436c-4770-9704-e8c809bcd841""]","[""SUCCEEDED""]",OK,
3,dev_0009,1,13_00014,14,2,245,4,6,60,111,2,51,"[""58324bcb-9925-492e-a7de-23f16bdcbbc7""]","[""SUCCEEDED""]",OK,
3,dev_0009,2,17_00074,40,4,663,6,12,111,359,6,248,"[""288cce2b-70c1-4ce5-b4d2-4df307291f02""]","[""SUCCEEDED""]",OK,
3,dev_0009,3,9_00041,22,2,278,12,15,359,401,3,42,"[""df103e89-71d1-48a1-8767-900f99a23370""]","[""SUCCEEDED""]",OK,
3,dev_0009,4,17_00092,30,4,510,15,18,401,514,3,113,"[""6eead82f-d8dc-423a-bc3e-b187e286e97a""]","[""SUCCEEDED""]",OK,
3,dev_0009,5,9_00029,16,2,372,18,23,514,592,5,78,"[""4c037efb-3fed-4f3d-8cc6-e365196c73c4""]","[""SUCCEEDED""]",OK,
4,dev_0014,0,17_00063,36,4,547,0,4,0,117,4,117,"[""dd0c0229-764a-4bd0-82c7-ca700b20a626""]","[""SUCCEEDED""]",OK,
4,dev_0014,1,14_00088,20,2,458,4,8,117,226,4,109,"[""1f130c98-4862-453f-b601-353b2c880e99""]","[""SUCCEEDED""]",OK,
4,dev_0014,2,19_00119,22,2,349,8,9,226,266,1,40,"[""3dc5e927-111f-4b39-ac5f-fb37ad33f2eb""]","[""SUCCEEDED""]",OK,
4,dev_0014,3,14_00097,24,2,327,9,10,266,313,1,47,"[""99135c35-0c3b-49d2-ad54-b6148d01a5a3""]","[""SUCCEEDED""]",OK,
4,dev_0014,4,19_00111,16,2,161,10,11,313,344,1,31,"[""f21f142f-de43-41af-bc36-44366900958c""]","[""SUCCEEDED""]",OK,
4,dev_0014,5,14_00076,26,2,512,11,18,344,507,7,163,"[""7a0daf34-f59b-4239-bd12-b9902e45f025""]","[""SUCCEEDED""]",OK,
5,dev_0015,0,14_00048,32,2,410,0,5,0,101,5,101,"[""4d3d4578-9d3c-4381-83d1-2b437779f5c1""]","[""SUCCEEDED""]",OK,
5,dev_0015,1,14_00089,24,2,455,5,10,101,210,5,109,"[""d4cf8098-8fc6-4544-9d59-5d1bce337d4b""]","[""SUCCEEDED""]",OK,
5,dev_0015,2,19_00035,18,2,376,10,14,210,307,4,97,"[""ce9688ad-5b1f-4105-8610-cb940962d123""]","[""SUCCEEDED""]",OK,
5,dev_0015,3,20_00015,18,2,372,14,16,307,390,2,83,"[""0e5346b9-80c4-42a3-9a11-d9acf461755b""]","[""SUCCEEDED""]",OK,
5,dev_0015,4,14_00064,26,2,421,16,19,390,460,3,70,"[""d5bfa0a3-1d8e-46bc-8248-ae29a3957550""]","[""SUCCEEDED""]",OK,
5,dev_0015,5,19_00032,22,2,339,19,19,460,499,0,39,"[""dd308a6a-274f-4a7f-a6bf-0e37476cea41""]","[""SUCCEEDED""]",OK,
5,dev_0015,6,20_00010,20,2,289,19,20,499,550,1,51,"[""c5a6f63d-59e2-45c8-b00c-1261778f8d18""]","[""SUCCEEDED""]",OK,
5,dev_0015,7,19_00107,26,2,455,20,21,550,601,1,51,"[""0cc2f65d-f56f-446f-836a-a691d3379520""]","[""SUCCEEDED""]",OK,
5,dev_0015,8,17_00066,34,4,591,21,25,601,742,4,141,"[""f2868b43-f4f9-45ea-a0fc-ac7162330a35""]","[""SUCCEEDED""]",OK,
